session_id,average_time_to_response_ms,average_recording_time_ms,game_length_sec,num_utterances,num_fallback,num_fulfillment_success,num_fulfillment_fail,played_chess_before,chess_familiarity_score,chess_fun_score,sus
3c4efe7d,1830.5105384615383,6016.265153846154,31.566696,13,4,10,3,False,3,1,60.0
8dac81bd,929.9415555555556,6078.166666666667,136.298535,9,5,8,1,True,4,3,55.0
394b8cad,1141.202727272727,5716.903272727272,91.427325,11,4,9,2,True,7,3,62.5
e669dfe7,1092.9771111111113,4899.7373333333335,62.221159,9,4,8,1,True,6,4,77.5
7a82aab5,897.357,5893.095,35.319347,8,4,8,0,True,4,2,67.5
35a422fe,882.5155454545456,6173.696090909091,111.117544,11,4,9,2,True,7,4,82.5
1f9e4d3a,1075.3547272727274,5355.718545454546,143.393216,11,6,10,1,False,2,1,95.0
042e3260,1039.8992000000003,5802.8967,0.0,10,2,9,1,True,9,5,67.5
a119ea7a,960.183857142857,5046.964285714285,0.0,14,8,13,1,True,6,3,35.0
ec702a9a,1417.1321176470587,5859.364588235294,249.152786,17,4,15,2,True,6,4,70.0
d78be7f6,1025.7764615384617,5504.705384615385,65.682129,13,5,10,3,True,4,4,60.0
e54992ef,981.3424285714285,5858.622928571428,221.300531,14,2,9,5,True,7,3,40.0
e0ad8390,1047.5898,5720.9011,127.773988,10,3,10,0,True,6,2,62.5
e3d93f51,1093.9784999999997,3900.1947,135.377302,10,2,10,0,True,9,5,87.5
02d5e8cd,1144.201153846154,5434.733807692308,192.374913,26,5,15,11,True,6,3,55.0
ce7934a5,1171.3487777777777,7555.717111111111,75.016263,9,1,7,2,True,7,4,70.0
01a4bab0,1439.2434399999997,3871.0428,176.24023,25,11,16,9,True,9,4,75.0
9d0fccef,1409.1385499999997,5109.290899999999,270.755701,20,3,15,5,True,6,2,85.0
3fdealeb,0,0,0,0,0,0,0,True,5,2,82.5
750b49c9,1999.812076923077,4795.784769230769,163.641705,13,3,12,1,True,7,3,92.5
d4ae8da4,0,0,0,0,0,0,0,True,6,3,80.0
b99ab92a,0,0,0,0,0,0,0,True,5,3,82.5
